doi,year,title,venue,research_question,method,sensor,agent,host,support,validation_design,class_balance_reported,accuracy_metric,accuracy_value,notes
10.1016/j.rse.2021.112560,2021,Detecting subtle change from dense Landsat time series: Case studies of mountain pine beetle and spruce beetle disturbance,not stated,RQ2,dense Landsat time series change detection applied to two insect case studies,dense Landsat time series,mountain pine beetle and spruce beetle,lodgepole pine and Engelmann spruce respectively,pixel,"not stated, abstract not retrievable",not stated,"not stated, abstract not retrievable","not stated, abstract not retrievable","Identity resolved by title only. No abstract was retrievable from Semantic Scholar or Crossref and the full text was not opened, so nothing about its method or results is asserted here. Flagged as a priority full-text read: it is the only record in the set whose title names two insect agents in one study, although the two agents attack different hosts."
10.1016/j.rse.2020.112244,2021,"Disturbance detection in landsat time series is influenced by tree mortality agent and severity, not by prior disturbance",not stated,RQ1;RQ2,"comparison of LandTrendr products against a field dataset and against alternative mapping methods, on a landscape with both wildfire and spruce beetle",Landsat time series (LandTrendr),wildfire and spruce beetle (Dendroctonus rufipennis),"spruce forest, landscape disturbed since about 2000","pixel, with field reference",unique field dataset from a landscape with a known history of both agents,no,"relative detectability by agent and severity, and area predicted",LandTrendr more accurately detected wildfire than spruce beetle-induced mortality; both were more easily detected at high severity; LandTrendr predicted about 40% lower affected area than alternative approaches,"CENTRAL RECORD FOR OMISSION BIAS. Demonstrates that detection probability itself depends on which agent caused the mortality, so an attribution model trained on optically detected disturbance inherits an agent-dependent sampling bias. Also finds that prior spruce beetle outbreaks did not influence detectability of subsequent wildfire."
10.1016/j.rse.2021.112502,2021,Human or natural? Landscape context improves the attribution of forest disturbances mapped from Landsat in Central Europe,not stated,RQ2,"causal attribution using a novel indicator class characterising landscape context, applied to 1.01 million disturbance patches",Landsat 1986 to 2016,human versus natural causes,Austrian forest,"disturbance patch, 1.01 million patches",reference data on 2620 patches from targeted field observations and structured interviews with 21 forest managers,no,not extracted from abstract,not extracted from abstract,"Already cited as Sebald 2021. Its reference-data protocol, field observation plus manager interview on 2620 patches, is the most careful in the set. Its key predictor is landscape context, which is site information rather than damage signature."
10.3390/rs13234768,2021,Detection of Bark Beetle Disturbance at Tree Level Using UAS Multispectral Imagery and Deep Learning,Remote Sensing,RQ2,"three CNN architectures and random forest classifying four categories including green attack, from UAS multispectral","UAS multispectral, RGB bands sufficient for the best models","bark beetle, green attack and later stages",pine,individual tree,not stated in abstract,no,kappa,best kappa 0.80 (Nez4c3b CNN) and 0.76 (Safaugu4c3b CNN) using RGB bands only,"States verbatim that the main misclassifications were between the two infestation stages because of the similar spectral responses, and that merging them made the model type less important. A direct warning about class definition."
10.1186/s40663-021-00352-6,2021,Forest disturbances and the attribution derived from yearly Landsat time series over 1990–2020 in the Hengduan Mountains Region of Southwest China,Forest Ecosystems,RQ2,"LandTrendr on Google Earth Engine for detection, then random forest attribution using disturbance properties with spectral and topographic variables","Landsat 30 m, 1990 to 2020","fire, logging, road construction and insects","Hengduan Mountains natural forest, southwest China",pixel,area-adjusted accuracy reported,no,"overall accuracy, conventional and area-adjusted",disturbance map 92.3% conventional and 97.70% +/- 0.06% area-adjusted; agent attribution 85.80%,"Four-agent attribution including an insect class, at 85.80% overall. Insects are a single undivided class and topography contributes to the discrimination."
10.3390/rs13224659,2021,Mapping European Spruce Bark Beetle Infestation at Its Early Phase Using Gyrocopter-Mounted Hyperspectral Data and Field Measurements,Remote Sensing,RQ2,"new hyperspectral index defined from 0.3 m airborne data, compared with common indices and validated against field spectrometry and a second study area","gyrocopter-mounted hyperspectral at 0.3 m, field spectrometer",Ips typographus green attack,"Norway spruce, Germany",individual tree,field data validation plus long-term validation in a second study area for transferability,no,overall accuracy,98.84% validated with field data,"Highest reported accuracy for green attack in the set, at 0.3 m from an airborne platform with an independent transferability test. Sets the practical ceiling that satellite-scale work is measured against."
10.1002/ecs2.3558,2021,"Detection of drought‐induced blue oak mortality in the Sierra Nevada Mountains, California",Ecosphere,RQ2,"identification of the most predictive wavelength regions from airborne hyperspectral, then mapping",airborne hyperspectral,drought,"blue oak (Quercus douglasii) woodland, Sierra Nevada foothills",individual tree and canopy,not stated in abstract,no,correlation with tree mortality,a normalized ratio of 937.53 and 1100.08 nm correlated with mortality at R2 0.83,"Open savanna-like woodland, and the stated difficulty is discriminating dead from live in arid deciduous canopies."
10.1002/eap.2519,2021,Early detection of a tree pathogen using airborne remote sensing.,Ecological Applications,RQ2,"repeat laser-guided imaging spectroscopy in two years, mapping foliar trait indices distinguishing infected from healthy trees","Global Airborne Observatory laser-guided imaging spectroscopy, 2018 and 2019",Rapid Ohia Death (Ceratocystis spp.),"Metrosideros polymorpha, Hawaii Island",individual tree,"repeat acquisition, further design not stated in abstract",no,not extracted from abstract,not extracted from abstract,"Laser-guided spectroscopy, so structure informs the spectral retrieval, for early detection of a pathogen on one host."
10.3390/rs12121914,2020,Sentinel-2 Data in an Evaluation of the Impact of the Disturbances on Forest Vegetation,Remote Sensing,RQ2,"time series analysis of vegetation and tasseled cap indices across five areas of contrasting degradation type, validated with in situ data and aerial photographs","Sentinel-2, 2017 to 2019","bark beetle calamity, plus recovery and undisturbed controls","Low Tatras and Sumava National Parks, spruce",area,in situ data and aerial photographs across five contrasting case areas,"yes, five areas by degradation type stated",index trajectory behaviour,not extracted from abstract,"Includes undisturbed control areas as well as disturbed ones, which most detection studies omit."
10.3390/rs12223722,2020,Tree Species Classification and Health Status Assessment for a Mixed Broadleaf-Conifer Forest with UAS Multispectral Imaging,Remote Sensing,RQ2,"two-step classification, first broadleaf versus conifer, then health status within tree type, from bi-temporal 5-band UAS imagery with structure from motion",UAS 5-band multispectral with structure-from-motion terrain models,bark beetle,"mixed broadleaf-conifer forest, Czech Republic",individual tree,not stated in abstract,no,not extracted from abstract,not extracted from abstract,"Classifies host type first and health second, the same ordering this project needs in order to hold host constant."
10.1016/j.foreco.2020.118370,2020,Change in forest condition: Characterizing non-stand replacing disturbances using time series satellite imagery,not stated,RQ2,"time series satellite imagery characterising non-stand-replacing disturbances by extent, severity and persistence","time series satellite imagery, Landsat family",drought stress and insect infestation as non-stand-replacing agents,"forest, extent not stated in abstract",pixel,not stated in abstract,no,not extracted from abstract,not extracted from abstract,Names the non-stand-replacing class as the underserved case and attributes the neglect to subtle alterations to forest canopies and structure. The adelgid signal in British Columbia is in this class.
